TEAM_ID,NAME,SHORT_NAME,TLA,LAND,GEGRUENDET,STADION
3,Bayer 04 Leverkusen,Leverkusen,B04,Germany,1904,BayArena
4,Borussia Dortmund,Dortmund,BVB,Germany,1909,Signal Iduna Park
5,FC Bayern München,Bayern,FCB,Germany,1900,Allianz Arena
19,Eintracht Frankfurt,Frankfurt,SGE,Germany,1899,Deutsche Bank Park
57,Arsenal FC,Arsenal,ARS,England,1886,Emirates Stadium
61,Chelsea FC,Chelsea,CHE,England,1905,Stamford Bridge
64,Liverpool FC,Liverpool,LIV,England,1892,Anfield
65,Manchester City FC,Man City,MCI,England,1880,Etihad Stadium
67,Newcastle United FC,Newcastle,NEW,England,1881,St. James' Park
73,Tottenham Hotspur FC,Tottenham,TOT,England,1882,Tottenham Hotspur Stadium
77,Athletic Club,Athletic,ATH,Spain,1898,San Mamés
78,Club Atlético de Madrid,Atleti,ATL,Spain,1903,Estadio Wanda Metropolitano
81,FC Barcelona,Barça,FCB,Spain,1899,Camp Nou
86,Real Madrid CF,Real Madrid,RMA,Spain,1902,Estadio Santiago Bernabéu
94,Villarreal CF,Villarreal,VIL,Spain,1923,Estadio de la Cerámica
102,Atalanta BC,Atalanta,ATA,Italy,1904,Stadio Atleti Azzurri d'Italia
108,FC Internazionale Milano,Inter,INT,Italy,1908,Stadio Giuseppe Meazza
109,Juventus FC,Juventus,JUV,Italy,1897,Allianz Stadium
113,SSC Napoli,Napoli,NAP,Italy,1904,Stadio San Paolo
498,Sporting Clube de Portugal,Sporting CP,SPO,Portugal,1906,Estádio José Alvalade
516,Olympique de Marseille,Marseille,MAR,France,1898,Orange Vélodrome
524,Paris Saint-Germain FC,PSG,PSG,France,1904,Parc des Princes
548,AS Monaco FC,Monaco,ASM,Monaco,1919,Stade Louis II.
610,Galatasaray SK,Galatasaray,GAL,Turkey,1905,Türk Telekom Arena
611,Qarabağ Ağdam FK,Qarabağ Ağdam,QAR,Azerbaijan,1951,Tofiq Bəhramov adına Respublika stadionu
654,PAE Olympiakos SFP,Olympiakos,OLY,Greece,1925,Stadio Georgios Karaiskáki
674,PSV,PSV,PSV,Netherlands,1913,Philips Stadion
678,AFC Ajax,Ajax,AJA,Netherlands,1900,Johan Cruyff ArenA
851,Club Brugge KV,Club Brugge,BRU,Belgium,1894,Jan Breydelstadion
930,SK Slavia Praha,Slavia Praha,SLP,Czech Republic,1892,Sinobo Stadium
1876,FC København,København,KOB,Denmark,1992,Telia Parken
1903,Sport Lisboa e Benfica,SL Benfica,BEN,Portugal,1904,Estádio do Sport Lisboa e Benfica
3929,Royale Union Saint-Gilloise,Union SG,USG,Belgium,1897,Stade Joseph Mariën
5721,FK Bodø/Glimt,Bodø/Glimt,FK,Norway,1916,Aspmyra Stadion
10601,FK Kairat,FK Kairat,KAI,Kazakhstan,0,Unbekannt
11034,Paphos FC,Paphos FC,AEP,Cyprus,0,Alphamega Stadium
